temperature,humidity,rainfall,soil_moisture,solar_rad,crop_stage,water_mm_per_week
26.74,53.09,45.76,30.93,20.24,1,10.0
37.11,52.35,64.43,11.9,19.68,1,13.24
33.18,85.31,60.81,39.9,9.63,0,10.0
30.78,52.48,12.31,29.52,23.68,1,17.19
22.81,53.6,11.94,11.29,17.66,1,22.85
22.81,77.97,21.45,43.49,14.18,2,10.0
21.05,62.49,28.89,25.73,20.86,0,11.38
35.59,78.84,32.68,7.92,12.38,1,15.12
30.82,43.27,54.38,30.07,19.79,1,10.0
32.75,64.38,4.53,15.13,8.68,1,16.81
20.37,41.68,2.77,37.15,22.27,2,17.46
37.46,43.13,31.35,37.71,15.62,1,10.0
34.98,85.32,55.77,44.16,18.82,2,10.0
23.82,46.96,15.47,25.07,11.76,1,10.0
23.27,66.62,51.32,23.2,19.51,1,11.36
23.3,60.55,20.79,35.14,21.13,0,10.0
25.48,57.37,70.89,10.3,16.04,0,10.0
29.45,84.99,71.66,26.88,18.5,0,10.0
27.78,41.09,23.78,26.85,15.76,0,10.0
25.24,73.19,18.4,8.58,23.2,0,27.69
31.01,88.17,32.9,21.72,16.46,0,10.0
22.51,68.01,19.24,39.13,22.31,0,10.0
25.26,86.84,53.79,39.25,21.62,2,10.0
26.59,42.61,66.09,8.97,14.98,0,10.0
28.21,60.94,53.85,8.63,11.91,1,10.0
34.13,53.01,65.95,15.51,14.9,0,10.0
23.59,76.54,31.76,39.99,22.05,2,10.38
29.26,89.06,12.51,10.16,11.87,2,26.09
30.66,52.83,59.04,33.8,16.92,1,10.0
20.84,72.71,28.84,9.05,21.7,1,15.06
30.94,49.9,53.7,29.93,14.01,0,10.0
23.07,68.27,21.65,19.24,18.92,2,19.12
21.17,63.2,6.5,36.56,12.18,2,10.0
37.08,88.6,79.41,14.35,9.86,2,10.0
37.38,70.43,12.5,30.57,21.5,1,21.11
34.55,57.48,79.07,14.43,9.68,1,10.0
25.48,45.7,78.18,33.55,12.61,2,10.0
21.76,47.56,63.51,39.95,22.54,0,10.0
32.32,51.27,52.75,10.07,13.89,1,10.0
27.92,52.55,46.22,39.66,24.54,0,10.0
22.2,82.53,69.29,28.74,24.66,2,10.0
28.91,68.06,23.16,10.08,12.56,0,13.41
20.62,66.17,37.41,22.1,8.7,0,10.0
36.37,45.74,49.55,11.43,19.99,1,10.57
24.66,83.01,32.9,33.01,15.67,1,10.0
31.93,76.14,34.2,35.35,9.71,1,10.0
25.61,43.38,26.42,9.23,20.03,0,15.26
29.36,75.39,45.14,25.25,8.53,0,10.0
29.84,67.18,68.05,37.59,22.79,1,10.0
23.33,44.09,16.12,42.45,10.36,2,10.0
37.45,62.92,74.75,25.54,10.16,2,10.0
33.95,64.23,55.13,43.01,10.99,1,10.0
36.91,48.29,65.86,26.43,24.32,2,24.22
