temperature_c,voltage_v,current_a,coolant_flow_lpm,target_temperature_c
54.828,3.9735,0.8406,4.6296,50.1417
39.7495,4.1307,3.6537,6.2753,38.9925
58.6369,4.1671,1.3161,2.9142,55.6165
51.3816,3.7288,1.4815,3.223,51.085
24.238,3.7463,4.8892,5.4291,31.0164
63.903,4.0399,3.1898,3.6828,60.2539
54.2513,3.5302,6.9452,4.9985,55.6364
55.3729,4.0793,2.666,3.4203,53.9393
25.7651,3.7188,5.5559,2.0283,38.2455
40.2674,3.3216,3.6738,5.0477,42.9963
36.6859,3.2757,5.0857,1.5476,47.4872
61.7044,4.0841,4.6578,1.9319,62.7022
48.9739,3.2583,3.7568,4.3729,50.6102
57.0243,3.4946,7.1454,5.0594,57.8106
39.9536,3.5508,2.8333,5.8997,40.2689
30.2257,3.3816,1.6584,2.3537,38.1706
44.9563,3.5296,5.2145,1.4311,53.1221
22.8718,3.9798,6.4067,6.2495,29.6273
57.2434,3.2154,0.6858,1.6802,58.3459
48.4249,4.0685,3.5924,1.9267,52.0984
54.1139,4.0994,6.7367,2.4606,58.2711
35.9537,3.5909,5.7223,3.8175,43.0173
63.6814,3.3613,7.4418,5.8321,61.9794
60.1905,3.8309,4.173,5.1351,56.7147
55.0273,3.3257,5.086,4.8365,55.3213
28.7587,3.5832,2.5476,1.7985,38.3922
41.0024,4.2064,7.1275,2.8388,48.2356
21.9712,4.2452,3.001,3.5269,29.68
26.943,4.0107,5.6434,1.6403,39.1498
50.7372,3.5265,3.2623,2.3585,54.012
53.5143,3.922,4.3889,2.5575,55.8766
63.5379,3.9407,5.5105,1.5255,65.7523
34.6621,3.6072,4.0134,3.9364,40.4134
36.6707,3.8729,6.8403,4.8187,42.4044
41.13,3.2113,3.377,1.1986,49.7016
28.5262,3.4195,4.9942,3.5424,38.0142
25.8465,3.7513,2.8308,5.2586,30.6741
41.4067,3.3719,3.2979,5.0635,43.4196
30.2109,3.3742,3.5244,5.4459,35.0043
50.1416,4.0781,1.2932,3.355,49.0731
39.6718,4.2386,1.0512,5.4772,37.5928
57.4705,3.7838,5.1392,2.1723,60.3684
51.5119,4.081,5.0542,2.8566,54.2212
34.0565,4.2398,5.1067,1.8052,42.9982
57.4517,3.3487,0.5403,3.4647,55.2581
56.2144,3.6707,2.7185,3.0347,56.0938
37.4365,3.6122,1.8044,2.1733,43.2409
32.9748,3.2841,5.9249,5.0852,39.8878
50.7123,3.9931,6.5105,2.5889,55.6053
26.2889,3.6555,2.1514,2.355,35.0819
28.9959,3.6928,5.1417,1.5461,41.1365
20.3313,3.3582,1.3185,3.3013,29.2875
55.4116,3.39,2.3536,2.5269,56.5647
49.9183,4.1525,1.3844,2.9049,49.6391
51.7324,3.2469,2.413,2.1452,55.0337
55.1328,3.4445,5.1906,5.15,54.5882
40.6512,3.5067,6.8633,6.101,44.2517
45.5934,3.7147,1.8379,3.6382,46.6805
26.2909,3.8158,4.2488,4.4651,33.3537
25.1539,3.718,5.3799,5.7429,31.8518
50.0781,3.2883,7.1657,6.4933,51.0345
41.1993,3.4559,4.7314,4.297,45.5814
45.4356,4.0858,2.2113,5.8717,42.4075
54.4249,3.8695,4.8409,5.9791,51.65
48.5623,3.8816,2.6755,5.3113,46.5134
44.9111,3.9037,7.3305,3.4273,51.0027
45.1643,4.001,3.2377,1.2626,50.6866
33.6778,3.261,5.2665,0.8901,46.5399
21.3868,3.5849,0.5649,3.52,28.5224
39.6523,3.7665,3.2404,3.6176,43.4249
29.6563,3.5554,6.6133,3.122,40.5098
38.3838,4.0867,4.7326,4.0386,42.6285
58.4031,3.7067,3.552,3.9473,56.7084
30.5273,4.0071,7.0452,5.5687,36.7513
22.6236,4.0946,6.4633,1.4193,36.9286
32.6623,3.73,2.6877,2.0835,40.6408
33.2117,4.155,4.2663,5.3201,36.1994
49.7862,3.8165,3.8778,5.6327,48.1203
45.0664,4.0928,4.8886,6.4705,43.5989
55.2754,3.5576,2.7722,5.7756,51.3747
49.8941,3.7238,2.1339,5.8724,46.455
38.2874,3.758,6.88,2.5918,47.4475
56.6309,3.3102,6.9595,3.0895,61.0319
27.5138,3.6185,6.3876,2.3281,39.9337
21.022,4.1632,7.3453,4.2559,31.9417
24.0522,3.8624,5.6894,6.1512,30.3127
52.5062,3.3864,5.8291,2.7645,57.3703
40.7845,3.5558,5.8144,3.9749,46.7085
27.2572,3.4012,3.8123,2.4889,37.6704
42.547,3.2261,3.6408,1.7679,50.0143
26.854,4.1738,2.1056,1.9126,35.0479
